,Type,Utterance,Sub topic,Unnamed: 3,Dialogue_Act,Emotion,Transliterated
31,P,Kind of the area that just kind of wraps around the actual elbow than it is really bothering me.,symp/reasoning,,id,,"वो क्षेत्र जो सिर्फ त्वचा को घेरता है, वास्तव में मुझे परेशान करता है।"
32,T,And does that pain go up your arm or down your arm or anywhere else on your arm?,symp/reasoning,,yq,,Aur kya woh dard aapke haath mein ya haath se niche ya haath ke kisi aur hisse mein hai?
33,P,No It stays right in that area.,symp/reasoning,,id,,Nahi woh uss area mein hi rehta hai.
34,T,Is there anything else that goes on at the same time? Any other symptoms that happen anything else other than when the pain is happening there anything else going on for you?,symp/reasoning,,yq,,Kya ek samay mein aur kuch aur hota hai? Koi aur lakshan hote hain kya? Kya dard hone ke alawa kuch aur ho raha hai? Kya aap ke liye kuch aur chal raha hai?
35,P,"Not that I've noticed, No.",symp/reasoning,,on,,"Mujhe lagta nahi hai ki maine dhyan diya hai, Nahi."
36,T,Is there anything that makes it feel better?,routine,,yq,,Kya kuch aisa hai jo isse accha mehsoos karaye?
37,P,"Um, nothing that completely gets rid of it. I will relieve it for a temporary period of time. But it hasn't gotten rid of it.",routine,,id,,"Um, kuch aisa nahi jo poori tarah se usse chhutkara dila de. Mai ise thodi der ke liye kam kar dunga. Lekin ye abhi bhi usse mukti nahi dila paaya hai."
38,T,And how much time it will do take?,routine,,irq,,Aur kitna samay lagega?
39,P,I whatever it says on the bottle usually wanted to tablet,routine,,id,,"Maine jo bhi botal par likha hota hai, wahi goli lena chahta tha main."
40,T,is that regular strength or extra strength?,routine,,yq,,यह नियमित मजबूती है या अतिर
41,P,regular strength.,routine,,op,,regular takat.
42,T,You just take it across the counter to normal directions on the bottom.,routine,,crq,,Tum bas use counter ke upar le jao aur bottom par normal directions follow karo.
43,P,correct,inactive,,cd,,मु
44,T,Okay. And does anything make it worse?,routine,,yq,,Thik hai. Aur kya koi cheez ise aur bura banati hai?
45,P,"Um, like you mentioned any sort of exertion, picking up a child doing the dishes, pretty much daily kind of living. ",story,,id,,"Bhai, jaise ki tune kaha koi bhi mehnat karne wali cheez, bacche ko uthana, ya din-bhar ke zindagi mei kaam karna."
46,T,So using it.,inactive,,crq,,Toh ise istemaal kar rahe hain.
47,P,Yes.,inactive,,ack,,Hanji.
48,T,Have you seen anybody else for this complaint?,routine,,yq,,Kya aapne is shikayat ke liye kisi aur ko dekha hai?
49,P,"Um, no. ",routine,,on,,"Please, na."
50,T,Have you What else have you tried other than the Tylenol and anything else?,symp/reasoning,,irq,,Kya tumne Tylenol ke alawa aur kuch try kiya hai?
51,P,"Um, I've attempted to use a heating pad on it. And I've also attempted ice. Neither were successful. ",symp/reasoning,,id,,"मैंने उम, मैं उस पर एक हीटिंग पैड का प्रयास किया है। और मैंने इसे ठंडा करने का भी"
52,T,"Okay. It sounds you've talked a little bit about how it's impacted, you know, you to be able to work in the garage or do the dishes or lift your child is there Other impact on your life,",symp/reasoning,,crq,,"Okay. It sounds like you have talked a little bit about how it has impacted you, you know, to be able to work in the garage, do the dishes, or lift your child. Are there any other impacts on your life?"
53,P,Umm like I mentioned is more of a nuisance. There'll be times in the middle of the night that will start to act up. If I get up to go to the bathroom. I'll notice pain in my elbow.,routine,,cd,,"Umm jaisa maine kaha tha, woh zyada takleef ka bais hai. Raat ke beech mein kabhi kabhi uski haalat kharab ho jaati hai. Agar main uth kar bathroom jaao, toh mujhe apne elbow mein dard mehsoos hoga."
54,T,Does it wake you up at night?,routine,,yq,,"'


Kya yeh tumhe raat mein uthaata hai?"
55,P,"It doesn't, but if I wake up in the middle of the night Well, trouble me and falling back asleep. ",symp/reasoning,,on,,"Yeh samasya hai, lekin agar main raat ke beech mein jagaun, toh mujhe pareshani hogi aur phir se neend mein jaane mein dikkat hogi."
56,T,Okay.  What do you think it is?,symp/reasoning,,irq,,Thik hai. Tumhe lagta hai kya yeh hai?
57,P,"Um, I'm not quite sure my best guess is maybe some sort of pulled muscle or something. But I honestly don't know.",symp/reasoning,,id,,"अरे, मैं ठीक से समझ नहीं पा रहा हूं, मेरी सबसे अच्छी अनुमान है कि कुछ मांसपेशियों को खींच लिया हो या कु"
58,T,"All right. What I'd like to do now is just kind of go through all the things that you told me and summarize for you. This is information that I want to take that but I want to make sure that I have it all correct. So if I've forgotten something, or I've gotten something incorrect, please, please help me. ",routine,,id,,"Thik hai. Vah koi bhi kaam nahi karna chahta hun abhi jo aapne mujhe bataya hai use dhyan se dekhunga or aapke liye saransh kar dunga. Yeh jaankari hai jo mujhe lehni hai par mai ye bhi yaad rakhna chahta hun ki mai sab theek se samajh raha hu. Agar maine kuch bhul gaya hai ya kuch galat samjha hai, toh kripya mujhe batayein."
59,P,Okay.,inactive,,ack,,Thik hai
60,T,"You came to the clinic today for a complaint of left elbow pain, and it's pain that you mostly noticed when you were bending it or using it in some capacity. It's a throbbing pain that happens randomly, but it does happen two to three times during the day, which you notice about is if you exert or you extend or flex your elbow at all, that's when it seems to be at its worst. It's gone on for about a week, maybe two, two weeks when you think back on it, and it started out when you were helping your husband clean the garage and you were lifting locks of boxes. So about a six to seven on a pain scale. And you describe it over and over as being a nuisance, which tells me that it's getting kind of in the way of doing some things that you want to you report that it happens probably two to three times a day, and that the pain wraps around the joint. Completely, you've taken some Tylenol for it across the counter, you've taken that several times a day now with without much relief",symp/reasoning,,id,,"आपने क्लिनिक पर, आज बाईसेपेट के दर्द की शिकायत के लिए आने का फैसला किया था, और यह दर्द अधिकतर तब हमें अहसास होता है जब आप इसे मोड़ते हैं या इसका इस्तेमाल करते हैं। यह एक दर्द ये है जो अनियत रूप से होता है, लेकिन यह दिन भर में दो से तीन बार होता है, जो आपने अपने कोशिश करते हुए आपको इसकी सबसे बुरी तरह से महसूस कराया गया है। इसका चलता है लगभग एक से दो हफ्ते तक, शायद आप इसका अनुसरण करते हैं, और यह जब शुरू हुआ जब आप अपने पति की सहायता करते हुए गैराज साफ कर रहे थे और आप ने कई बॉक्स को खींचा। इसमें एक से सात दर्जे के बीच का दर्द है। और आप बार-बार इसे दिक्कत आने की अवस्था में समझाते हैं, जो मुझे बताता है कि यह कुछ चीजों को करने में आपकी राह बना रहा है, आप रिपोर्ट करते हैं कि यह लगभग दो से तीन बार एक दिन में होता है, और दर्द जोड़ को पूरी तरह से घेरता है। आपने कुछ टाइलेनॉल लिया है जो आसानी से मिल जाता है, और आपने उसे अपने दिन में कई बार लिया है लेकिन कोई दिलासा नहीं मिला।"
61,P,right,inactive,,ack,,thik
62,T,"that it hasn't helped much. You've also tried a heating pad, you've tried some ice, that hasn't really helped either too much. It sounds like you know, again, you kept referring to it as an as a nuisance. It's just kind of getting in the way of your daily activities. It Doesn't necessarily keep you up at night. But you do notice it at night when you wake up that it's still going on for you. So sleep doesn't seem to help much. And that what you mostly think this could be is a pulled muscle of some type. Is there anything I forgotten or that you wanted to tell me about this?",symp/reasoning,,yq,,"Ki wo kuch zyada madad nahi ki. Tumne bhi koshish ki thi garm patti se aur thandi se, lekin woh bhi zyada kaam nahi aayi. Aisa lagta hai ki tum toh, phir bhi tumne isko pareshani ke roop mein refer kiya. Yeh bas tumhaari aadat karte hue tumhaari roz ki gatividhiyon ko rok rahi hai. Yeh tumhe raat mein uthaane tak toh nahi, lekin jab tum raat mein uthate ho toh tumhe yeh hamesha lagta hai. Toh neend bhi zyada madad nahi karti. Aur aisa lagta hai ki tumko yeh sab se badi baat lagti hai ki yeh kisi aisa akhaara kaat gayi hai. Kya maine kuch bhooli ya yeh tum mujhe is baare mein bataana chahte?"
63,P,I'm not that I can think of no.,inactive,,on,,मैं नहीं हूँ कि मुझे कुछ सोचने के ल
64,T,Thank you for telling me about your chief concerns. So I'm going to take it back to Dr. Smith.,inactive,,gt,,Dhanyavaad aapne mujhe apne mukhya chintaon ke baare mein batane ke liye. Isliye main use wapas le jaaunga Dr. Smith ke paas.
65,P,Thank you very much.,inactive,,gt,,Thank you bahut saara.
66,,summary,"Patient came to the clinic for a complaint of left elbow pain, and it’s pain that patient mostly noticed when you were bending it or using it in some capacity. It’s a throbbing pain that happens randomly, but it does happen two to three times during the day, which patient notice about is if you exert or you extend or flex your elbow at all, that’s when it seems to be at its worst. It’s gone on for about a week, maybe two, two weeks when you think back on it, and it started out when patient was helping husband clean the garage and you were lifting locks of boxes. So about a six to seven on a pain scale. And patient describe it over and over as being a nuisance, which tells therapist that it’s getting kind of in the way of doing some things that patient want to report that it happens probably two to three times a day, and that the pain wraps around the joint completely. You’ve taken some Tylenol for it across the counter, you’ve taken that several times a day now with without much relief that it hasn’t helped much. Patient also tried a heating pad, patient tried some ice, that hasn’t really helped either too much. It sounds like you know, again, you kept referring to it as an as a nuisance. It’s just kind of getting in the way of your daily activities. It Doesn’t necessarily keep you up at night. But you do notice it at night when you wake up that it’s still going on for you. So sleep doesn’t seem to help much.",,,,
67,,primary_topic,Elbow Pain,,,,
68,,secondary_topic,Diagnosis,,,,
